Age,Experience,Income,Family ,CCAvg,Mortgage,PersonalLoan
25,1,49,4,1.6,0,reject
45,19,34,3,1.5,0,reject
39,15,11,1,1,0,reject
35,9,100,1,2.7,0,reject
35,8,45,4,1,0,reject
37,13,29,4,0.4,155,reject
53,27,72,2,1.5,0,reject
50,24,22,1,0.3,0,reject
35,10,81,3,0.6,104,reject
34,9,180,1,8.9,0,accept
65,39,105,4,2.4,0,reject
29,5,45,3,0.1,0,reject
48,23,114,2,3.8,0,reject
59,32,40,4,2.5,0,reject
67,41,112,1,2,0,reject
60,30,22,1,1.5,0,reject
38,14,130,4,4.7,134,accept
42,18,81,4,2.4,0,reject
46,21,193,2,8.1,0,accept
55,28,21,1,0.5,0,reject
56,31,25,4,0.9,111,reject
57,27,63,3,2,0,reject
29,5,62,1,1.2,260,reject
44,18,43,2,0.7,163,reject
36,11,152,2,3.9,159,reject
43,19,29,3,0.5,97,reject
40,16,83,4,0.2,0,reject
46,20,158,1,2.4,0,reject
56,30,48,1,2.2,0,reject
38,13,119,1,3.3,0,accept
59,35,35,1,1.2,122,reject
40,16,29,1,2,0,reject
53,28,41,2,0.6,193,reject
30,6,18,3,0.9,0,reject
31,5,50,4,1.8,0,reject
48,24,81,3,0.7,0,reject
59,35,121,1,2.9,0,reject
51,25,71,1,1.4,198,reject
42,18,141,3,5,0,accept
38,13,80,4,0.7,285,reject
57,32,84,3,1.6,0,reject
34,9,60,3,2.3,0,reject
32,7,132,4,1.1,412,accept
39,15,45,1,0.7,0,reject
46,20,104,1,5.7,0,reject
57,31,52,4,2.5,0,reject
39,14,43,3,0.7,153,reject
37,12,194,4,0.2,211,accept
56,26,81,2,4.5,0,reject
40,16,49,1,1.8,0,reject
32,8,8,4,0.7,0,reject
61,37,131,1,2.9,0,reject
30,6,72,1,0.1,207,reject
50,26,190,3,2.1,240,accept
29,5,44,1,0.2,0,reject
41,17,139,2,8,0,reject
55,30,29,3,0.1,0,reject
56,31,131,2,1.2,0,accept
28,2,93,2,0.2,0,reject
31,5,188,2,4.5,455,reject
49,24,39,3,1.7,0,reject
47,21,125,1,5.7,112,reject
42,18,22,1,1,0,reject
